y_trust2005,y_trust2006,y_trust2007,y_trust2008,x_age2005,x_age2006,x_age2007,x_age2008,x_male2005,x_male2006,x_male2007,x_male2008,d_threat2005,d_threat2006,d_threat2007,d_threat2008,x_education2005,x_education2006,x_education2007,x_education2008,x_income2005,x_income2006,x_income2007,x_income2008,idpers
8,4,4,4,40,41,42,43,1,1,1,1,0,0,0,1,8,8,8,8,3,3,3,3,1
0,5,5,0,37,38,39,40,0,0,0,0,1,1,1,1,1,1,1,1,0,NA,0,NA,2
4,0,0,0,14,15,16,17,1,1,1,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,3
NA,NA,7,1,12,13,14,15,1,1,1,1,NA,NA,1,1,NA,NA,0,0,NA,NA,NA,NA,4
NA,NA,NA,NA,9,10,11,12,0,0,0,0,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,5
7,5,6,2,44,45,46,47,1,1,1,1,0,0,0,0,9,9,9,10,3,3,3,3,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
NA,NA,NA,NA,33,34,35,NA,1,1,1,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,11
8,7,8,NA,32,33,34,NA,0,0,0,NA,0,0,0,NA,4,4,4,NA,1,1,1,NA,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
